UpdateDegree,DegreeType
A.S. TRANSFER W/HIGH HON,Associate's
A.S. TRANSFER WITH HONORS,Associate's
"A.S., NATURAL SCIENCE",Associate's
A.S.ELEMENTARY ED(DTA/MRP)W/HN,Associate's
A.S.IN BUSINESS,Associate's
A.S.IN MINISTRY STUDIES,Associate's
A.S.N,Associate's
A.S.N.,Associate's
A.S.P.T.A.,Associate's
A.S.TRANSFER,Associate's
A.S.TRANSFER BIOL/CHEM/EARTH,Associate's
A.S.TRANSFER ENGINEERING,Associate's
A.S.TRANSFER ENGR/CS/PHYS/ATM,Associate's
A.S.TRANSFER WITH HONORS,Associate's
A.S.TRF ENGR/CS/PHYS/ATM W/HNR,Associate's
A.SCI. DEGREE,Associate's
A/A CARPENTRY TECH,Associate's
A/A ELECTRONICS TECH,Associate's
A/A MACHINIST TECHNOLOGY,Associate's
A/AA,Associate's
A/AA AUTO MECH,Associate's
A/AA AUTO MECH TECH,Associate's
A/AA AUTO MECHANICS,Associate's
A/AA AUTO MECHANICS TECH,Associate's
A/AA AUTO TECH,Associate's
A/AA CARPENTRY,Associate's
A/AA CARPENTRY TECH,Associate's
A/AA CARPENTRY TECHNOLOGY,Associate's
A/AA DP,Associate's
A/AA ELECTRONIC TECH,Associate's
A/AA ELECTRONICS,Associate's
A/AA ELECTRONICS TECH,Associate's
A/AA HEAVY EQUIP TECH,Associate's
A/AA HEAVY EQUIPMENT TECH,Associate's
A/AA IN AUTO MECHANICS,Associate's
A/AA IN CARPENTRY TECH,Associate's
A/AA IN DATA PROCESSING,Associate's
A/AA IN ELECTRONICS,Associate's
A/AA MACH TECH,Associate's
A/AA MACHINE TECH,Associate's
A/AA MACHINIST TECH,Associate's
A/AA MACHINIST TECHNICIAN,Associate's
A/AA-CARPENTRY,Associate's
A/AS ACCOUNTING,Associate's
A/AS BUSINESS MANAGEMENT,Associate's
A/AS BUSINESS MANAGMENT,Associate's
A/AS BUSINESS MNGMT,Associate's
A/AS BUSINESS TECHNOLOGY,Associate's
A/AS CORRECTIONS,Associate's
A/AS CRIMINAL JUSTICE,Associate's
A/AS DATA PROCESSING,Associate's
A/AS EARLY CHILDHOOD EDUC,Associate's
A/AS EARLY CHILDHOOD EDUCATION,Associate's
A/AS ENERGY TECH-POWER OPER,Associate's
A/AS FISH & WILDLIFE,Associate's
A/AS FISH & WILDLIFE MNGMT,Associate's
A/AS FISH 7 WILDLIFE MNGMT,Associate's
A/AS FISH AND WILDLIFE MNGMT,Associate's
A/AS FISHERIES TECHNOLOGY,Associate's
A/AS GEOGRAPHIC INFO SYSTEM,Associate's
A/AS GEOGRAPHIC INFO SYSTEMS,Associate's
A/AS GEOGRAPHIC INFORMATION SY,Associate's
A/AS HUMAN SERVICES,Associate's
A/AS HUMAN SERVICES TECH,Associate's
A/AS HUMAN SERVICES TECHNOLOGY,Associate's
A/AS ICST IND CONTROL SYS TECH,Associate's
A/AS MICROCOMPUTER TECH,Associate's
A/AS MICROCOMPUTER TECHNOLOG,Associate's
A/AS MICROCOMPUTER TECHNOLOGIE,Associate's
A/AS MICROCOMPUTER TECHNOLOGY,Associate's
A/AS NATURAL RESOURCES RESTORA,Associate's
A/AS NATURAL RESOURCES TECH,Associate's
A/AS NR-AQUACULTURE TECHNOLOGY,Associate's
A/AS NR-FORESTRY TECHNICIAN,Associate's
A/AS NURSING,Associate's
A/AS OCCUPATIONAL ENTREPRENEUR,Associate's
A/AS OFFICE TECHNOLOGY,Associate's
A/AS PC NETWORK TECH II,Associate's
A/AS PC NETWORKING TECH II,Associate's
A/AS SECRETARIAL SCI,Associate's
A/AS SECRETARIAL SCIENCE,Associate's
A/AS TECH SUP SPEC-INFO TECH,Associate's
A/AS- SECRETARIAL SCIENCE,Associate's
A/S - CHEMISTRY,Associate's
A/S BUSINESS ADM,Associate's
A/S BUSINESS MANAGEMENT,Associate's
A/S BUSINESS MANGMT,Associate's
A/S BUSINESS MNGMT,Associate's
A/S CHEMISTRY,Associate's
A/S CRIMINAL JUSTICE,Associate's
A/S DATA PROCESSING,Associate's
A/S DATA PROCESSING TECH,Associate's
A/S ENGINEERING,Associate's
A/S FIRE SCIENCE,Associate's
A/S FIRE SCIENCE TECH,Associate's
A/S FISH & GAME,Associate's
A/S FISH & GAME MNGMT,Associate's
A/S FISH & GAME TECH,Associate's
A/S FISH & WILDLIFE,Associate's
A/S FISH & WILDLIFE TECH,Associate's
A/S FISH-GAME MANGMT,Associate's
A/S FOESTRY TECH,Associate's
A/S FORESTRY,Associate's
A/S FORESTRY TECH,Associate's
A/S IN BUSINESS MNGMT,Associate's
A/S IN FISH & GAME,Associate's
A/S IN FISH/GAME MNGMT,Associate's
A/S IN SOCIOLOGY,Associate's
A/S MARINE BIOLOGY,Associate's
A/S NURSING,Associate's
A/S PHYSICAL THERAPY,Associate's
A/S PRE VET MED,Associate's
A/S PRE-VET BIOLOGY,Associate's
A/S SCIENCE,Associate's
A/S SEC SCIENCE,Associate's
A/S SECRETARIAL SCIENCE,Associate's
A/S-ENGINEERING,Associate's
A/S-FISH & WILDLIFE,Associate's
A/T AUTO MECHANICS,Associate's
A/T AUTO TECHNOLOGY,Associate's
A/T AUTOMOTIVE MECHANICS,Associate's
A/T AUTOMOTIVE TECHNOLOGY,Associate's
A/T CARPENTRY,Associate's
A/T CARPENTRY TECHNOLOGY,Associate's
A/T DIESEL TECHNOLOGY,Associate's
A/T H D EQUIP MECH-DIESEL,Associate's
A/T HD EQUIP MACH-DIESEL,Associate's
A/T HD EQUIP MECH DIESEL,Associate's
A/T HD EQUIP MECH-DESEL,Associate's
A/T HD EQUIP MECH-DIESEL,Associate's
A/T MACHINE TECHNOLOGY,Associate's
